Date,State,Housing Inventory,Construction Costs,Land Availability,Interest Rates,Economic Conditions,Population Growth,Consumer Confidence,Demographic Trends,Location & Amenities,House Price ($),House Area (sqft)
2016-12-27,Rhode Island,148339,132461,Abundant,3.59,Weak,0.63,High,Aging Population,"Urban, Good Schools",752163,3860
2016-12-28,Delaware,113363,151426,Limited,3.19,Moderate,0.91,Moderate,Aging Population,"Suburban, Transport",326557,2427
2016-12-29,Colorado,91634,144468,Limited,3.66,Moderate,0.5,Low,Aging Population,"Suburban, Transport",384997,3326
2016-12-30,Illinois,85397,164999,Abundant,3.22,Strong,1.55,Moderate,Millennial Buyers,"Suburban, Transport",164758,2199
2016-12-31,Michigan,137646,133599,Limited,4.68,Moderate,1.94,Low,Millennial Buyers,"Urban, Good Schools",288898,2739
2017-01-01,Vermont,98920,131272,Limited,4.93,Moderate,0.54,Moderate,Aging Population,"Suburban, Transport",612687,2954
2017-01-02,Wyoming,185312,100498,Abundant,5.21,Weak,1.59,Low,Aging Population,"Urban, Good Schools",587593,3845
2017-01-03,Virginia,185729,136383,Limited,5.27,Strong,1.02,High,Millennial Buyers,"Urban, Good Schools",720833,3056
2017-01-04,Rhode Island,111275,148735,Abundant,4.26,Strong,1.24,Low,Aging Population,"Urban, Good Schools",564733,2109
2017-01-05,Oklahoma,199207,144153,Limited,5.19,Moderate,0.91,Low,Millennial Buyers,"Urban, Good Schools",695686,1147
2017-01-06,Pennsylvania,62545,124564,Limited,4.46,Moderate,0.93,Low,Aging Population,"Urban, Good Schools",662768,2332
2017-01-07,Alaska,90615,131458,Limited,3.04,Moderate,0.95,Moderate,Millennial Buyers,"Suburban, Transport",543510,3410
2017-01-08,Arkansas,52477,122029,Limited,4.68,Strong,1.29,Moderate,Aging Population,"Suburban, Transport",335575,2951
2017-01-09,Washington,53340,182962,Limited,5.88,Weak,0.6,High,Aging Population,"Suburban, Transport",471514,3165
2017-01-10,Oregon,106751,148262,Abundant,5.24,Weak,1.96,Low,Aging Population,"Suburban, Transport",573467,1794
2017-01-11,Arkansas,140820,127370,Limited,5.13,Moderate,1.66,Moderate,Millennial Buyers,"Suburban, Transport",366427,3574
2017-01-12,North Carolina,122624,177251,Limited,4.27,Weak,0.94,High,Aging Population,"Urban, Good Schools",490939,2028
2017-01-13,West Virginia,100016,196084,Limited,5.24,Moderate,0.88,Moderate,Millennial Buyers,"Suburban, Transport",512184,3352
2017-01-14,West Virginia,57831,105992,Limited,3.68,Weak,1.06,Low,Millennial Buyers,"Urban, Good Schools",464324,3718
2017-01-15,New Mexico,50095,182350,Abundant,4.11,Weak,1.77,High,Aging Population,"Suburban, Transport",655704,3802
2017-01-16,Texas,104757,156250,Limited,4.45,Strong,0.58,Moderate,Millennial Buyers,"Suburban, Transport",238137,1712
2017-01-17,Wisconsin,78169,126139,Limited,5.36,Moderate,1.41,Low,Aging Population,"Urban, Good Schools",353728,1707
2017-01-18,New Mexico,197848,127785,Limited,3.64,Weak,1.37,Low,Aging Population,"Suburban, Transport",449606,3282
2017-01-19,Rhode Island,112462,111637,Limited,3.24,Moderate,1.2,Moderate,Millennial Buyers,"Urban, Good Schools",450648,2553
2017-01-20,South Dakota,174926,133777,Abundant,3.36,Strong,1.06,High,Millennial Buyers,"Suburban, Transport",388365,1588
2017-01-21,Arkansas,197439,153352,Abundant,4.54,Strong,0.9,Low,Aging Population,"Suburban, Transport",770868,3551
2017-01-22,North Dakota,56074,139227,Abundant,3.28,Weak,0.81,Low,Millennial Buyers,"Suburban, Transport",539142,3800
2017-01-23,Wyoming,75202,114809,Limited,4.02,Strong,0.7,Moderate,Millennial Buyers,"Urban, Good Schools",675233,3830
2017-01-24,North Dakota,190767,173907,Limited,5.31,Strong,0.83,Moderate,Millennial Buyers,"Urban, Good Schools",780089,3371
2017-01-25,Connecticut,112168,101278,Abundant,3.78,Moderate,1.55,High,Millennial Buyers,"Urban, Good Schools",739191,1484
2017-01-26,Wisconsin,113990,137537,Abundant,4.53,Moderate,0.63,High,Aging Population,"Urban, Good Schools",371741,1110
2017-01-27,Louisiana,76394,172220,Abundant,4.3,Strong,0.57,Low,Aging Population,"Urban, Good Schools",716705,1877
2017-01-28,New Mexico,110987,185171,Limited,5.23,Strong,1.5,High,Aging Population,"Urban, Good Schools",581001,1205
2017-01-29,Wisconsin,130039,186698,Abundant,5.65,Strong,1.61,Low,Aging Population,"Urban, Good Schools",686197,3286
2017-01-30,North Carolina,59490,143563,Limited,4.27,Moderate,0.57,Moderate,Millennial Buyers,"Suburban, Transport",629203,3220
2017-01-31,Vermont,51556,191848,Abundant,5.44,Moderate,0.65,Moderate,Aging Population,"Urban, Good Schools",655110,2936
2017-02-01,Montana,100215,158744,Limited,4.31,Strong,0.97,Low,Millennial Buyers,"Suburban, Transport",259108,2254
2017-02-02,Illinois,125015,184332,Limited,4.2,Strong,1.35,Moderate,Aging Population,"Suburban, Transport",395449,1016
2017-02-03,Nebraska,67466,116482,Limited,3.11,Weak,1.6,Low,Millennial Buyers,"Urban, Good Schools",619133,1858
2017-02-04,Maine,94159,116875,Limited,4.92,Moderate,1.53,High,Millennial Buyers,"Urban, Good Schools",262259,2757
2017-02-05,Mississippi,137124,167691,Abundant,5.45,Weak,1.05,Moderate,Aging Population,"Urban, Good Schools",629676,3599
2017-02-06,Alabama,121042,177998,Abundant,3.1,Weak,0.87,High,Millennial Buyers,"Urban, Good Schools",761657,3543
2017-02-07,Minnesota,198238,114638,Abundant,4.51,Weak,1.84,Low,Aging Population,"Suburban, Transport",161955,1715
2017-02-08,Alaska,180123,140677,Abundant,5.48,Moderate,1.11,High,Aging Population,"Suburban, Transport",292980,1955
2017-02-09,Michigan,110106,142840,Limited,3.41,Strong,0.64,Moderate,Aging Population,"Urban, Good Schools",399440,3693
2017-02-10,Delaware,175465,111662,Limited,4.89,Strong,0.97,Low,Aging Population,"Suburban, Transport",407963,2346
2017-02-11,Maine,182877,151015,Abundant,3.3,Weak,1.17,Low,Millennial Buyers,"Urban, Good Schools",786411,2493
2017-02-12,North Dakota,136678,195592,Limited,5.88,Weak,1.11,High,Millennial Buyers,"Suburban, Transport",471326,3163
2017-02-13,Hawaii,81517,132992,Abundant,3.28,Strong,0.79,Moderate,Aging Population,"Suburban, Transport",264794,2825
2017-02-14,Texas,89462,110071,Limited,5.98,Strong,1.74,High,Millennial Buyers,"Urban, Good Schools",600168,1820
2017-02-15,California,70768,120170,Limited,5.9,Moderate,1.23,High,Aging Population,"Suburban, Transport",1983338,2367
2017-02-16,Indiana,169315,192688,Abundant,4.11,Weak,1.62,High,Aging Population,"Urban, Good Schools",270452,1480
2017-02-17,Wyoming,142769,198703,Limited,3.88,Strong,1.7,High,Aging Population,"Suburban, Transport",739111,1779
2017-02-18,Alabama,171716,163375,Abundant,4.37,Moderate,1.35,Low,Millennial Buyers,"Urban, Good Schools",545316,2308
2017-02-19,Hawaii,188742,101810,Limited,3.45,Moderate,0.59,Moderate,Millennial Buyers,"Urban, Good Schools",468368,2154
2017-02-20,Kentucky,163831,136913,Limited,5.96,Strong,0.88,Low,Aging Population,"Suburban, Transport",183140,1843
2017-02-21,Wyoming,142968,127612,Abundant,3.14,Weak,1.71,Low,Aging Population,"Urban, Good Schools",598310,1302
2017-02-22,Utah,140476,183113,Abundant,5.91,Moderate,1.84,Low,Millennial Buyers,"Suburban, Transport",420241,1779
2017-02-23,Alaska,80284,142142,Abundant,5.58,Moderate,1.95,Moderate,Millennial Buyers,"Urban, Good Schools",154482,3573
2017-02-24,Tennessee,153750,128509,Limited,4.65,Weak,1.42,High,Aging Population,"Urban, Good Schools",500494,1717
2017-02-25,Maryland,128530,140248,Abundant,5.05,Moderate,0.55,Low,Aging Population,"Urban, Good Schools",406113,3880
2017-02-26,Iowa,170650,154221,Limited,3.5,Moderate,0.68,Moderate,Millennial Buyers,"Suburban, Transport",216416,1171
2017-02-27,Massachusetts,56809,114879,Abundant,5.52,Moderate,1.87,Low,Millennial Buyers,"Suburban, Transport",324443,3214
2017-02-28,Washington,138951,170428,Abundant,3.19,Moderate,1.88,High,Millennial Buyers,"Urban, Good Schools",509085,3648
2017-03-01,Maryland,180669,142944,Abundant,4.41,Weak,1.81,Low,Millennial Buyers,"Urban, Good Schools",256208,2204
2017-03-02,South Dakota,159748,111049,Abundant,4.47,Weak,1.2,High,Aging Population,"Urban, Good Schools",737563,2470
2017-03-03,Pennsylvania,72120,168452,Abundant,4.33,Weak,1.18,Moderate,Millennial Buyers,"Suburban, Transport",170414,2801
2017-03-04,Arkansas,151728,138710,Abundant,3.4,Moderate,1.27,Moderate,Millennial Buyers,"Urban, Good Schools",322043,1049
2017-03-05,Indiana,50506,117927,Limited,4.46,Weak,1.19,Low,Aging Population,"Suburban, Transport",306160,3679
2017-03-06,Arkansas,71539,156622,Limited,5.1,Weak,1.36,High,Millennial Buyers,"Suburban, Transport",754719,2068
2017-03-07,Kansas,151844,116898,Limited,5.66,Weak,1.35,High,Millennial Buyers,"Suburban, Transport",576962,2248
2017-03-08,North Carolina,182141,197846,Abundant,4.4,Weak,1.33,Moderate,Aging Population,"Suburban, Transport",365279,1580
2017-03-09,Oregon,91730,177079,Limited,4.38,Strong,1.06,Moderate,Millennial Buyers,"Urban, Good Schools",632800,1658
2017-03-10,Oklahoma,181358,125511,Abundant,3.52,Weak,1.83,Moderate,Millennial Buyers,"Urban, Good Schools",777045,2728
2017-03-11,Virginia,96132,171733,Limited,3.39,Strong,0.83,Low,Millennial Buyers,"Urban, Good Schools",620054,3479
2017-03-12,Arizona,65749,126713,Abundant,3.93,Weak,1.77,High,Aging Population,"Suburban, Transport",163085,1511
2017-03-13,New Hampshire,149921,138997,Limited,3.93,Moderate,0.91,Low,Millennial Buyers,"Suburban, Transport",221175,3972
2017-03-14,South Carolina,165031,179012,Abundant,4.88,Moderate,1.42,Moderate,Aging Population,"Suburban, Transport",452798,1138
2017-03-15,Michigan,147441,139306,Abundant,5.75,Strong,1.47,Low,Millennial Buyers,"Suburban, Transport",737890,1415
2017-03-16,Alaska,55162,121270,Limited,3.24,Strong,0.82,High,Aging Population,"Suburban, Transport",501133,3396
2017-03-17,West Virginia,185704,181801,Abundant,4.28,Strong,0.93,Moderate,Aging Population,"Suburban, Transport",275355,2978
2017-03-18,Wyoming,158681,189038,Abundant,5.29,Moderate,0.7,Moderate,Aging Population,"Urban, Good Schools",497098,2011
2017-03-19,Montana,125249,114769,Limited,5.23,Moderate,1.04,Low,Millennial Buyers,"Urban, Good Schools",218314,2245
2017-03-20,New Mexico,119877,112623,Limited,3.58,Moderate,1.03,Moderate,Aging Population,"Urban, Good Schools",235384,3136
2017-03-21,North Dakota,64946,108983,Abundant,4.29,Weak,1.13,Low,Millennial Buyers,"Urban, Good Schools",289906,3752
2017-03-22,Minnesota,167989,110147,Abundant,5.07,Strong,1.86,Moderate,Millennial Buyers,"Suburban, Transport",159659,3559
2017-03-23,South Carolina,87144,112301,Abundant,5.14,Moderate,1.53,Moderate,Aging Population,"Urban, Good Schools",409086,3223
2017-03-24,Hawaii,97544,144564,Abundant,3.88,Weak,1.86,Moderate,Aging Population,"Suburban, Transport",796610,3150
2017-03-25,Nevada,145469,127081,Limited,5.15,Strong,0.77,Low,Millennial Buyers,"Urban, Good Schools",748036,1288
2017-03-26,New Hampshire,77120,174614,Limited,4.52,Weak,1.88,Low,Aging Population,"Urban, Good Schools",464764,3410
2017-03-27,South Carolina,174868,176799,Limited,4.18,Moderate,1.21,Low,Millennial Buyers,"Urban, Good Schools",791688,2526
2017-03-28,Maine,86873,181821,Limited,5.55,Weak,0.68,Low,Aging Population,"Suburban, Transport",632307,2361
2017-03-29,Alabama,162594,123023,Abundant,3.9,Strong,1.99,High,Millennial Buyers,"Suburban, Transport",580895,3069
2017-03-30,Virginia,103667,134064,Limited,3.33,Strong,1.8,High,Millennial Buyers,"Suburban, Transport",304815,1137
2017-03-31,Nevada,158610,186674,Limited,4.01,Weak,0.91,High,Aging Population,"Suburban, Transport",572176,2442
2017-04-01,Mississippi,189633,177699,Limited,4.81,Strong,1.24,Moderate,Aging Population,"Suburban, Transport",742791,1707
2017-04-02,California,121551,196538,Limited,4.8,Weak,1.61,Moderate,Millennial Buyers,"Urban, Good Schools",1160715,1075
2017-04-03,Virginia,147330,112707,Limited,4.59,Weak,1.5,Low,Millennial Buyers,"Urban, Good Schools",751989,3459
2017-04-04,Indiana,127233,107948,Abundant,5.58,Moderate,0.82,High,Aging Population,"Urban, Good Schools",508722,1341
2017-04-05,New Jersey,55491,143891,Abundant,4.18,Weak,1.59,Low,Millennial Buyers,"Urban, Good Schools",519414,1245
2017-04-06,Delaware,61054,129566,Limited,3.39,Strong,1.93,Low,Aging Population,"Urban, Good Schools",360891,2990
2017-04-07,Wyoming,167427,106087,Limited,4.44,Weak,1.27,High,Aging Population,"Urban, Good Schools",247243,2438
2017-04-08,Kansas,150258,160098,Abundant,3.81,Strong,1.07,High,Millennial Buyers,"Urban, Good Schools",460681,2724
2017-04-09,Utah,80622,193712,Limited,4.84,Moderate,2.0,High,Millennial Buyers,"Urban, Good Schools",434123,2554
2017-04-10,Washington,196892,165882,Limited,4.06,Strong,0.83,High,Aging Population,"Urban, Good Schools",794885,1689
2017-04-11,Maryland,84628,165042,Limited,3.75,Moderate,1.01,Low,Aging Population,"Suburban, Transport",743301,3689
2017-04-12,New Jersey,50354,118949,Limited,3.01,Weak,1.64,High,Aging Population,"Urban, Good Schools",749730,3040
2017-04-13,Pennsylvania,85081,180485,Abundant,4.87,Weak,1.09,High,Millennial Buyers,"Suburban, Transport",155201,3777
2017-04-14,Nebraska,150040,181282,Abundant,3.38,Moderate,0.71,High,Millennial Buyers,"Suburban, Transport",318506,3616
2017-04-15,Arizona,167073,161329,Abundant,3.76,Moderate,1.03,Moderate,Aging Population,"Urban, Good Schools",728907,2986
2017-04-16,Nebraska,143387,187885,Abundant,5.59,Strong,1.14,High,Aging Population,"Urban, Good Schools",562754,2464
2017-04-17,Rhode Island,81963,151774,Limited,5.28,Moderate,0.95,High,Millennial Buyers,"Suburban, Transport",485854,3948
2017-04-18,New Jersey,150563,134606,Limited,5.12,Weak,1.88,Low,Aging Population,"Suburban, Transport",304493,2196
2017-04-19,South Dakota,167292,137809,Limited,3.29,Strong,0.61,Moderate,Aging Population,"Urban, Good Schools",539776,1208
2017-04-20,Texas,151967,107441,Abundant,4.74,Weak,1.69,Moderate,Millennial Buyers,"Suburban, Transport",235204,3043
2017-04-21,Rhode Island,110720,100624,Limited,4.09,Strong,1.34,Moderate,Millennial Buyers,"Urban, Good Schools",627787,1348
2017-04-22,North Dakota,143149,154819,Limited,4.34,Weak,1.8,Low,Millennial Buyers,"Urban, Good Schools",647518,1723
2017-04-23,Ohio,104994,180643,Limited,4.57,Strong,1.34,High,Millennial Buyers,"Urban, Good Schools",453970,1417
2017-04-24,Idaho,121838,130976,Abundant,5.0,Weak,1.11,High,Millennial Buyers,"Suburban, Transport",375203,1037
2017-04-25,Oklahoma,72508,151153,Limited,5.9,Moderate,0.86,Low,Aging Population,"Suburban, Transport",650940,2309
2017-04-26,Kansas,89379,168906,Abundant,5.37,Weak,0.64,Low,Aging Population,"Urban, Good Schools",433510,3032
2017-04-27,New Mexico,83364,119859,Abundant,4.31,Moderate,1.7,Moderate,Millennial Buyers,"Suburban, Transport",456371,2143
2017-04-28,Texas,79568,101181,Limited,5.4,Moderate,1.51,High,Aging Population,"Urban, Good Schools",210748,3367
2017-04-29,West Virginia,69856,107720,Abundant,3.33,Weak,0.75,High,Aging Population,"Suburban, Transport",398598,2773
2017-04-30,Kentucky,191674,140496,Limited,5.17,Strong,0.68,Moderate,Aging Population,"Urban, Good Schools",478368,3714
2017-05-01,Maryland,61014,151162,Abundant,5.92,Weak,1.65,Moderate,Millennial Buyers,"Urban, Good Schools",458265,1789
2017-05-02,Colorado,157485,172422,Limited,4.89,Moderate,0.52,High,Aging Population,"Urban, Good Schools",353618,3239
2017-05-03,Kentucky,143049,179888,Abundant,4.17,Moderate,1.28,Moderate,Aging Population,"Urban, Good Schools",500065,1651
2017-05-04,Maryland,63010,161738,Limited,5.8,Moderate,1.69,Low,Millennial Buyers,"Suburban, Transport",355196,3423
2017-05-05,Hawaii,54010,175135,Limited,4.97,Moderate,0.6,High,Aging Population,"Urban, Good Schools",638820,3221
2017-05-06,Michigan,97479,171184,Limited,5.1,Strong,1.93,Low,Millennial Buyers,"Urban, Good Schools",282699,2031
2017-05-07,Maryland,160224,146081,Abundant,5.91,Strong,1.19,High,Millennial Buyers,"Suburban, Transport",477878,1946
2017-05-08,Nebraska,180051,164453,Abundant,3.68,Strong,1.96,Low,Millennial Buyers,"Suburban, Transport",418664,2808
2017-05-09,Ohio,81175,156623,Abundant,4.45,Strong,0.98,Moderate,Aging Population,"Suburban, Transport",414541,1765
2017-05-10,Michigan,56806,154870,Limited,5.16,Strong,1.42,Moderate,Aging Population,"Urban, Good Schools",755283,2062
2017-05-11,Nevada,77477,114950,Abundant,5.45,Weak,1.52,High,Aging Population,"Suburban, Transport",601012,2633
2017-05-12,Florida,134580,152809,Limited,4.23,Moderate,1.01,High,Millennial Buyers,"Urban, Good Schools",177639,3951
2017-05-13,Alabama,129109,112595,Limited,3.25,Weak,1.02,High,Millennial Buyers,"Suburban, Transport",529717,3924
2017-05-14,Massachusetts,140925,106603,Abundant,4.31,Strong,0.69,Low,Millennial Buyers,"Urban, Good Schools",545924,3735
2017-05-15,Colorado,56360,128465,Abundant,4.59,Strong,1.66,Moderate,Aging Population,"Suburban, Transport",633241,3333
2017-05-16,Minnesota,170167,197046,Limited,4.51,Moderate,1.21,Moderate,Aging Population,"Suburban, Transport",426773,3499
2017-05-17,Texas,96584,107493,Limited,3.62,Weak,1.72,Low,Aging Population,"Suburban, Transport",496960,2694
2017-05-18,Illinois,96656,167661,Abundant,5.4,Strong,1.59,Moderate,Millennial Buyers,"Urban, Good Schools",613412,2050
2017-05-19,Alabama,88255,193417,Abundant,4.27,Weak,0.95,Moderate,Aging Population,"Suburban, Transport",244412,1843
2017-05-20,Illinois,133674,186363,Limited,5.2,Strong,0.62,Moderate,Aging Population,"Suburban, Transport",168726,3068
2017-05-21,Louisiana,78691,152915,Abundant,5.4,Strong,1.12,Moderate,Aging Population,"Suburban, Transport",335176,2943
2017-05-22,Arizona,63807,170534,Limited,3.53,Moderate,0.94,Low,Aging Population,"Suburban, Transport",386235,3860
2017-05-23,Nevada,71576,110452,Limited,3.72,Strong,1.82,Low,Aging Population,"Suburban, Transport",787714,3754
2017-05-24,Oklahoma,117963,125365,Abundant,4.96,Weak,1.58,High,Millennial Buyers,"Urban, Good Schools",648004,1886
2017-05-25,North Dakota,124842,131199,Abundant,3.65,Strong,1.75,High,Aging Population,"Suburban, Transport",726288,3141
2017-05-26,Virginia,133015,169388,Abundant,3.29,Strong,1.74,Low,Aging Population,"Suburban, Transport",169260,2864
2017-05-27,Ohio,78113,131693,Abundant,5.16,Weak,0.63,Low,Aging Population,"Urban, Good Schools",558823,1302
2017-05-28,South Dakota,198477,136998,Limited,3.79,Moderate,1.14,High,Aging Population,"Urban, Good Schools",705004,3517
2017-05-29,Idaho,181340,159778,Limited,3.75,Strong,1.64,High,Aging Population,"Suburban, Transport",247802,2864
2017-05-30,Rhode Island,121140,132495,Limited,3.19,Weak,0.94,Moderate,Aging Population,"Urban, Good Schools",712095,3412
2017-05-31,Idaho,139934,187152,Abundant,4.52,Weak,0.97,Low,Aging Population,"Suburban, Transport",281694,1486
2017-06-01,Indiana,69084,188865,Limited,5.08,Strong,0.67,Moderate,Aging Population,"Urban, Good Schools",451537,3392
2017-06-02,Minnesota,54525,171318,Limited,3.49,Strong,1.07,High,Millennial Buyers,"Suburban, Transport",189211,1236
2017-06-03,Mississippi,103102,151165,Abundant,5.85,Weak,1.97,High,Aging Population,"Suburban, Transport",749740,1041
2017-06-04,Arizona,76853,162074,Abundant,3.23,Strong,1.22,High,Millennial Buyers,"Suburban, Transport",150899,1229
2017-06-05,Alaska,185320,126166,Limited,5.45,Weak,1.08,Low,Aging Population,"Suburban, Transport",310993,3072
2017-06-06,Rhode Island,66969,126321,Abundant,5.03,Strong,0.5,Moderate,Aging Population,"Urban, Good Schools",593364,2306
2017-06-07,Florida,67173,152928,Abundant,4.8,Strong,0.69,Moderate,Aging Population,"Suburban, Transport",170141,1967
2017-06-08,Indiana,79984,126035,Abundant,5.58,Strong,1.32,Low,Millennial Buyers,"Urban, Good Schools",429169,1381
2017-06-09,Tennessee,179270,103508,Abundant,3.83,Moderate,1.61,High,Millennial Buyers,"Suburban, Transport",540167,1530
2017-06-10,Connecticut,57665,109578,Abundant,4.77,Strong,0.99,High,Millennial Buyers,"Suburban, Transport",615005,3878
2017-06-11,Montana,139269,105051,Abundant,4.73,Strong,0.63,Moderate,Millennial Buyers,"Suburban, Transport",455669,3087
2017-06-12,Idaho,69155,117586,Abundant,4.96,Weak,0.8,High,Aging Population,"Urban, Good Schools",475743,2448
2017-06-13,Washington,116046,161602,Abundant,4.02,Weak,0.76,Moderate,Aging Population,"Urban, Good Schools",746879,2560
2017-06-14,South Carolina,143434,118468,Limited,4.26,Moderate,1.88,Moderate,Millennial Buyers,"Urban, Good Schools",478577,2872
2017-06-15,New Hampshire,194362,105581,Limited,5.52,Strong,1.99,Low,Aging Population,"Urban, Good Schools",685906,3848
2017-06-16,Georgia,97807,109940,Abundant,3.75,Weak,0.97,Moderate,Aging Population,"Suburban, Transport",509220,2236
2017-06-17,Alabama,161337,111786,Limited,4.18,Moderate,1.77,Low,Aging Population,"Urban, Good Schools",279371,2420
2017-06-18,Wyoming,107517,123486,Limited,4.72,Strong,1.72,High,Millennial Buyers,"Suburban, Transport",773764,3652
2017-06-19,Florida,125096,166832,Limited,4.55,Weak,1.55,Moderate,Millennial Buyers,"Suburban, Transport",498399,2005
2017-06-20,Missouri,72419,103807,Abundant,4.19,Strong,0.51,Low,Aging Population,"Urban, Good Schools",718241,3306
2017-06-21,Illinois,158158,131885,Abundant,3.51,Strong,1.32,Moderate,Aging Population,"Urban, Good Schools",232747,1319
2017-06-22,Illinois,62357,114048,Abundant,5.8,Strong,1.78,Low,Aging Population,"Suburban, Transport",633156,1123
2017-06-23,Nevada,57281,142392,Limited,4.98,Weak,1.56,Low,Aging Population,"Suburban, Transport",450372,1197
2017-06-24,Utah,174829,189659,Limited,4.79,Weak,1.09,Moderate,Millennial Buyers,"Urban, Good Schools",735406,3335
2017-06-25,Washington,93668,191144,Limited,3.88,Moderate,0.62,Moderate,Aging Population,"Urban, Good Schools",178072,1942
2017-06-26,Alaska,67658,149011,Abundant,5.18,Weak,1.72,Moderate,Aging Population,"Urban, Good Schools",307696,1398
2017-06-27,New Mexico,129205,177244,Limited,3.22,Moderate,1.74,Moderate,Aging Population,"Urban, Good Schools",163163,2331
2017-06-28,Texas,167078,164122,Limited,3.3,Moderate,1.92,High,Millennial Buyers,"Suburban, Transport",290854,3708
2017-06-29,Maryland,79184,158004,Abundant,4.04,Moderate,1.84,Moderate,Aging Population,"Urban, Good Schools",754224,2629
2017-06-30,Virginia,75195,106514,Limited,3.5,Weak,1.21,Moderate,Aging Population,"Suburban, Transport",694913,2174
2017-07-01,Kentucky,108638,171302,Abundant,4.7,Strong,0.6,High,Aging Population,"Urban, Good Schools",621388,1335
2017-07-02,Connecticut,55943,194656,Abundant,4.75,Moderate,0.59,Moderate,Millennial Buyers,"Suburban, Transport",694141,3529
2017-07-03,Arkansas,82179,131922,Limited,5.28,Weak,1.66,Moderate,Aging Population,"Urban, Good Schools",287792,3050
2017-07-04,New Jersey,147752,140652,Limited,3.08,Weak,1.8,High,Aging Population,"Urban, Good Schools",754648,1473
2017-07-05,South Dakota,119660,119259,Abundant,5.61,Strong,1.72,Moderate,Millennial Buyers,"Urban, Good Schools",605554,2716
2017-07-06,California,88073,157236,Limited,5.9,Strong,1.32,Moderate,Aging Population,"Urban, Good Schools",714466,2577
2017-07-07,Georgia,119385,111213,Abundant,3.84,Moderate,1.06,Moderate,Millennial Buyers,"Suburban, Transport",601655,2251
2017-07-08,Utah,104582,116169,Limited,4.93,Moderate,0.69,High,Millennial Buyers,"Urban, Good Schools",537489,2643
2017-07-09,New Hampshire,160914,191999,Limited,4.3,Moderate,1.63,Moderate,Aging Population,"Suburban, Transport",524102,2218
2017-07-10,Texas,181516,114630,Limited,4.76,Moderate,0.86,High,Millennial Buyers,"Urban, Good Schools",489361,1080
2017-07-11,Maine,148216,108244,Abundant,3.09,Strong,1.82,High,Millennial Buyers,"Urban, Good Schools",676978,2779
2017-07-12,Nevada,64842,135980,Abundant,3.72,Moderate,0.97,High,Millennial Buyers,"Urban, Good Schools",560461,1176
2017-07-13,Montana,136294,181314,Abundant,5.73,Weak,0.89,Low,Millennial Buyers,"Urban, Good Schools",257446,3315
2017-07-14,Tennessee,107520,196825,Limited,3.6,Strong,1.39,High,Millennial Buyers,"Suburban, Transport",405385,1943
2017-07-15,Wisconsin,194208,149852,Limited,3.6,Weak,0.73,Low,Aging Population,"Suburban, Transport",300262,2501
2017-07-16,Wisconsin,102192,123675,Abundant,5.84,Moderate,1.21,Moderate,Aging Population,"Suburban, Transport",510888,3556
2017-07-17,Iowa,144913,106558,Limited,4.51,Weak,1.8,Moderate,Aging Population,"Urban, Good Schools",286408,1366
2017-07-18,Connecticut,122180,178187,Abundant,3.22,Strong,1.32,Low,Millennial Buyers,"Suburban, Transport",321848,1949
2017-07-19,Delaware,176414,175081,Abundant,3.1,Moderate,0.65,High,Millennial Buyers,"Suburban, Transport",610962,2763
2017-07-20,Alabama,64733,186699,Abundant,5.24,Weak,0.77,Low,Aging Population,"Urban, Good Schools",535036,3980
2017-07-21,California,50887,135685,Abundant,5.22,Weak,0.92,Low,Aging Population,"Urban, Good Schools",691883,1596
2017-07-22,Minnesota,184536,165284,Abundant,4.36,Weak,0.81,High,Millennial Buyers,"Urban, Good Schools",581660,2673
2017-07-23,Ohio,198436,147725,Abundant,3.5,Moderate,1.2,High,Millennial Buyers,"Suburban, Transport",400636,1417
2017-07-24,New Jersey,73491,179413,Limited,3.29,Strong,0.76,Low,Millennial Buyers,"Urban, Good Schools",536165,1735
2017-07-25,North Carolina,167363,159190,Limited,4.38,Moderate,1.79,Moderate,Millennial Buyers,"Urban, Good Schools",545465,1005
2017-07-26,Iowa,138710,125334,Limited,3.16,Weak,1.23,Low,Aging Population,"Urban, Good Schools",420980,2496
2017-07-27,New York,155801,177139,Limited,3.51,Strong,1.85,High,Aging Population,"Urban, Good Schools",1563213,3178
2017-07-28,South Dakota,90453,114360,Abundant,3.65,Weak,1.32,Moderate,Aging Population,"Suburban, Transport",508552,3876
2017-07-29,Mississippi,138374,111511,Limited,4.82,Weak,0.6,Moderate,Aging Population,"Suburban, Transport",312922,3659
2017-07-30,South Dakota,100826,176479,Limited,3.65,Moderate,1.62,Moderate,Millennial Buyers,"Urban, Good Schools",332629,2140
2017-07-31,Iowa,164125,107191,Abundant,5.45,Moderate,0.8,Low,Millennial Buyers,"Urban, Good Schools",442041,1447
2017-08-01,Connecticut,134267,133451,Abundant,5.97,Weak,0.62,Low,Aging Population,"Suburban, Transport",760871,3087
2017-08-02,Hawaii,167435,159161,Limited,4.39,Strong,1.93,Moderate,Aging Population,"Suburban, Transport",203675,1226
2017-08-03,Minnesota,146025,196068,Limited,5.15,Moderate,1.38,High,Aging Population,"Urban, Good Schools",399934,2686
2017-08-04,Pennsylvania,158931,167475,Abundant,3.85,Strong,1.59,High,Aging Population,"Urban, Good Schools",213240,3986
2017-08-05,New York,98119,164869,Abundant,5.79,Strong,1.25,Low,Aging Population,"Suburban, Transport",450399,3367
