Date,State,Housing_Inventory,Construction_Costs,Land_Availability,Interest_Rates,Economic_Conditions,Population_Growth,Consumer_Confidence,Demographic_Trends,House_Price_($),House_Area_(sqft),Location,Amenities
2020-08-22,North Carolina,103502,191357,Limited,4.14,Strong,0.95,Low,Aging Population,672623,2466,Urban,Good Schools
2020-03-30,New Hampshire,70297,101015,Limited,4.72,Strong,1.34,Low,Millennial Buyers,454919,3890,Suburban,Transport
2011-09-23,New Hampshire,177417,103300,Abundant,3.07,Moderate,1.16,High,Aging Population,237749,1287,Suburban,Transport
2011-11-04,Kentucky,111827,163867,Limited,3.15,Moderate,1.9,Low,Aging Population,375977,3223,Urban,Good Schools
2013-06-03,Washington,90052,191565,Abundant,4.69,Weak,1.74,High,Millennial Buyers,261032,2837,Suburban,Transport
2011-04-28,Montana,64061,185047,Abundant,4.65,Weak,0.56,Moderate,Aging Population,633693,2092,Urban,Good Schools
2014-05-04,Arkansas,138048,185674,Limited,5.64,Strong,1.78,Low,Millennial Buyers,683312,3628,Suburban,Transport
2018-06-02,Illinois,137657,136265,Abundant,4.73,Moderate,1.08,High,Aging Population,520350,2249,Urban,Good Schools
2022-09-02,Texas,199171,164237,Abundant,3.38,Strong,0.94,Low,Millennial Buyers,502167,1752,Suburban,Transport
2018-04-27,New Jersey,149056,157093,Abundant,3.31,Weak,1.77,Moderate,Millennial Buyers,657141,3903,Suburban,Transport
2014-01-02,Kentucky,171184,189662,Abundant,5.89,Moderate,0.63,Low,Aging Population,276566,2946,Urban,Good Schools
2020-10-04,New Jersey,145135,182869,Abundant,5.38,Strong,1.34,High,Millennial Buyers,620790,2008,Urban,Good Schools
2019-12-01,New York,139039,140581,Abundant,4.9,Weak,1.79,Moderate,Aging Population,574124,3425,Suburban,Transport
2017-01-22,Rhode Island,89984,196778,Limited,4.62,Moderate,1.53,High,Aging Population,585915,1952,Suburban,Transport
2020-05-29,Oregon,151712,114516,Abundant,4.03,Moderate,0.97,Low,Aging Population,187343,1455,Urban,Good Schools
2010-02-19,South Carolina,134047,178715,Limited,3.27,Strong,0.72,Low,Aging Population,295486,1410,Suburban,Transport
2021-09-29,Maine,137229,188106,Abundant,3.13,Moderate,1.14,High,Millennial Buyers,239390,1304,Urban,Good Schools
2019-02-27,California,60728,110622,Abundant,5.16,Weak,1.6,High,Aging Population,974761,2101,Urban,Good Schools
2012-05-08,Rhode Island,193509,142593,Abundant,3.9,Weak,0.87,High,Aging Population,710015,1821,Suburban,Transport
2012-12-08,Florida,137308,172494,Limited,4.47,Strong,0.91,Low,Aging Population,359979,3161,Suburban,Transport
2011-12-21,Alaska,89905,188571,Abundant,3.97,Weak,1.21,Moderate,Millennial Buyers,298214,2251,Urban,Good Schools
2020-03-06,Delaware,154379,162581,Limited,4.45,Weak,1.31,Moderate,Aging Population,228625,3995,Suburban,Transport
2017-03-16,California,147801,113104,Abundant,5.46,Moderate,0.69,High,Millennial Buyers,1442225,1492,Suburban,Transport
2023-05-06,Texas,96879,198826,Limited,5.88,Weak,0.86,High,Millennial Buyers,627281,2738,Suburban,Transport
2014-07-19,Hawaii,136818,199322,Limited,3.53,Weak,0.72,Low,Millennial Buyers,548739,1385,Urban,Good Schools
2014-07-15,Oklahoma,179256,111428,Abundant,3.16,Strong,0.82,High,Aging Population,355291,3844,Suburban,Transport
2016-08-22,Oklahoma,55064,171959,Limited,3.22,Strong,1.96,Moderate,Millennial Buyers,746887,2405,Suburban,Transport
2019-08-26,Arkansas,198009,191711,Limited,4.47,Moderate,0.64,High,Millennial Buyers,579983,3789,Suburban,Transport
2021-07-31,Mississippi,126486,159931,Abundant,3.06,Strong,1.93,High,Aging Population,701345,3898,Urban,Good Schools
2023-08-15,Virginia,84481,180118,Limited,4.86,Strong,1.02,Moderate,Millennial Buyers,327475,2342,Urban,Good Schools
2019-01-23,Mississippi,159944,158723,Abundant,4.59,Strong,0.62,Moderate,Millennial Buyers,390110,1991,Urban,Good Schools
2022-04-04,New Jersey,164501,194648,Limited,4.42,Weak,0.59,Low,Millennial Buyers,188446,2191,Urban,Good Schools
2019-01-19,Maine,170743,138116,Limited,3.38,Weak,1.33,High,Millennial Buyers,745870,3030,Suburban,Transport
2023-01-04,Maryland,55772,152217,Limited,3.3,Strong,0.97,Low,Aging Population,379788,1056,Suburban,Transport
2021-04-19,Alaska,178195,171194,Abundant,5.45,Moderate,1.11,Moderate,Millennial Buyers,750049,2113,Urban,Good Schools
2017-02-19,Massachusetts,53070,186944,Limited,3.15,Moderate,0.58,Low,Aging Population,598280,1977,Suburban,Transport
2013-10-17,Montana,129472,137090,Limited,5.71,Weak,0.83,High,Aging Population,496753,1354,Suburban,Transport
2020-07-02,Delaware,78536,172896,Abundant,4.22,Moderate,1.34,Moderate,Aging Population,300637,1335,Urban,Good Schools
2013-10-31,Michigan,141905,157716,Abundant,3.6,Moderate,1.11,High,Aging Population,407233,3773,Urban,Good Schools
2013-04-10,Colorado,73596,112231,Limited,4.29,Moderate,1.87,Low,Millennial Buyers,759608,2062,Suburban,Transport
2013-11-09,Hawaii,115298,156995,Abundant,4.28,Moderate,1.6,Moderate,Millennial Buyers,410169,2940,Suburban,Transport
2020-06-21,Kansas,194653,195761,Limited,3.27,Moderate,0.89,Moderate,Aging Population,415440,1967,Urban,Good Schools
2014-12-04,South Dakota,156999,109615,Limited,4.44,Moderate,1.84,Low,Millennial Buyers,782909,2482,Urban,Good Schools
2014-01-15,Oregon,132438,125899,Abundant,4.99,Strong,0.71,Moderate,Millennial Buyers,289993,2776,Urban,Good Schools
2023-08-06,Idaho,131197,147258,Limited,5.37,Weak,0.87,Low,Millennial Buyers,640082,2033,Suburban,Transport
2010-02-05,Iowa,68025,143102,Limited,3.2,Weak,0.7,High,Millennial Buyers,537565,1797,Suburban,Transport
2019-09-12,Wyoming,168929,107288,Limited,5.23,Weak,0.99,Low,Aging Population,479765,3347,Suburban,Transport
2016-06-03,Arkansas,94938,191651,Abundant,4.52,Moderate,0.84,Low,Aging Population,478671,3008,Suburban,Transport
2022-10-23,California,66851,143265,Abundant,5.75,Weak,0.74,Moderate,Aging Population,877904,3184,Suburban,Transport
2016-06-17,Arkansas,151783,113040,Abundant,3.27,Weak,0.63,Moderate,Millennial Buyers,326250,1302,Suburban,Transport
2016-01-16,New Mexico,116380,126909,Abundant,5.13,Moderate,1.3,High,Millennial Buyers,631219,1027,Urban,Good Schools
2020-04-25,Hawaii,142506,176173,Limited,4.87,Moderate,2.0,Moderate,Millennial Buyers,174886,1953,Urban,Good Schools
2013-07-10,Oregon,114710,167924,Abundant,4.11,Moderate,0.99,Moderate,Aging Population,518786,2995,Urban,Good Schools
2010-12-16,Pennsylvania,82775,178630,Limited,3.24,Weak,1.05,Low,Millennial Buyers,704240,3822,Urban,Good Schools
2015-11-08,Iowa,114411,194491,Limited,3.66,Strong,1.11,Low,Aging Population,428175,2289,Urban,Good Schools
2017-05-15,Missouri,115239,149645,Limited,3.18,Weak,2.0,Low,Millennial Buyers,201769,1759,Suburban,Transport
2022-06-27,Idaho,180191,185124,Abundant,3.17,Strong,1.02,Low,Millennial Buyers,379272,2389,Urban,Good Schools
2020-11-11,New Mexico,104318,161216,Abundant,3.94,Moderate,1.27,Low,Aging Population,255552,3679,Suburban,Transport
2014-08-09,Delaware,96627,178582,Limited,5.44,Moderate,1.04,Low,Aging Population,561297,2384,Suburban,Transport
2023-03-28,Delaware,91656,140304,Limited,5.29,Moderate,1.81,High,Aging Population,405894,3036,Suburban,Transport
2013-12-14,Maryland,126273,119854,Abundant,3.51,Moderate,1.21,High,Aging Population,201624,3606,Urban,Good Schools
2018-11-18,Alabama,99743,174546,Limited,3.37,Strong,0.95,Low,Millennial Buyers,609120,3220,Suburban,Transport
2014-07-30,Idaho,185873,107532,Abundant,5.15,Weak,0.9,Moderate,Aging Population,474733,3629,Urban,Good Schools
2020-07-03,Nebraska,161946,126475,Abundant,5.24,Weak,1.07,High,Aging Population,406910,1225,Urban,Good Schools
2013-03-25,Mississippi,133112,111960,Limited,4.79,Strong,0.56,High,Millennial Buyers,321779,3112,Urban,Good Schools
2017-08-30,Texas,122365,168295,Limited,3.06,Moderate,0.75,High,Aging Population,447148,2621,Urban,Good Schools
2014-08-20,Utah,136463,115270,Limited,5.94,Strong,0.64,High,Millennial Buyers,437523,1725,Suburban,Transport
2020-10-31,Kansas,190698,119816,Abundant,4.79,Moderate,0.54,High,Millennial Buyers,159544,1185,Suburban,Transport
2011-01-08,Nebraska,97884,167827,Limited,3.72,Strong,1.85,Moderate,Millennial Buyers,712988,3947,Urban,Good Schools
2019-11-20,Arizona,51105,108499,Abundant,5.45,Moderate,1.29,Low,Aging Population,505424,3476,Suburban,Transport
2015-04-01,New Hampshire,84143,187885,Limited,4.69,Moderate,0.76,Low,Aging Population,767698,3822,Urban,Good Schools
2013-09-19,Michigan,150858,184305,Limited,4.1,Moderate,1.21,Moderate,Millennial Buyers,536968,3104,Suburban,Transport
2014-12-31,Alabama,136395,137059,Abundant,3.37,Moderate,1.71,Moderate,Aging Population,459157,1451,Suburban,Transport
2012-02-26,West Virginia,190113,157805,Abundant,4.92,Weak,1.7,Low,Aging Population,385296,3585,Urban,Good Schools
2011-04-15,Colorado,103988,141344,Abundant,4.3,Moderate,1.12,High,Millennial Buyers,447715,2553,Suburban,Transport
2010-05-21,South Carolina,57038,127367,Abundant,4.36,Weak,1.42,High,Aging Population,565902,2433,Suburban,Transport
2012-02-28,Rhode Island,157990,170233,Limited,3.39,Strong,1.19,Moderate,Aging Population,348676,1623,Suburban,Transport
2010-11-20,Pennsylvania,146187,133537,Abundant,3.52,Moderate,1.03,Moderate,Aging Population,416514,1930,Urban,Good Schools
2010-02-20,New Hampshire,144525,164611,Limited,3.79,Moderate,1.3,Moderate,Aging Population,296489,1142,Urban,Good Schools
2011-12-16,New Hampshire,165984,193709,Abundant,5.28,Weak,0.8,High,Millennial Buyers,592563,1042,Suburban,Transport
2023-05-22,Kansas,183074,182411,Abundant,5.37,Weak,0.8,Moderate,Millennial Buyers,736886,2112,Suburban,Transport
2017-10-11,Colorado,133589,194113,Abundant,5.61,Weak,1.65,High,Millennial Buyers,456319,3558,Suburban,Transport
2016-09-12,Hawaii,159773,114769,Limited,3.72,Moderate,1.19,Low,Millennial Buyers,538297,3759,Suburban,Transport
2023-03-07,Nebraska,51368,125857,Abundant,4.32,Strong,0.71,High,Millennial Buyers,456545,1328,Urban,Good Schools
2022-02-06,Nevada,160928,119433,Abundant,4.21,Strong,1.1,Moderate,Millennial Buyers,411111,2688,Suburban,Transport
2022-08-02,Colorado,197829,123010,Limited,3.64,Moderate,0.69,High,Aging Population,548349,1494,Suburban,Transport
2018-04-04,New Mexico,108698,152359,Abundant,4.73,Weak,1.38,Low,Aging Population,632149,1460,Suburban,Transport
2017-04-20,Texas,93144,116594,Abundant,3.15,Weak,0.56,Moderate,Millennial Buyers,659832,1757,Suburban,Transport
2011-02-11,Iowa,91797,124490,Abundant,3.09,Weak,0.83,Low,Millennial Buyers,516296,2461,Urban,Good Schools
2020-03-13,Arizona,97265,176461,Abundant,5.67,Weak,0.6,High,Millennial Buyers,465444,2442,Urban,Good Schools
2012-10-01,Oregon,192487,160505,Abundant,5.53,Moderate,1.99,High,Millennial Buyers,580132,2559,Urban,Good Schools
2020-05-15,West Virginia,178485,181441,Limited,4.52,Weak,0.93,Moderate,Millennial Buyers,454689,2351,Urban,Good Schools
2012-06-09,Connecticut,99371,180984,Abundant,5.8,Moderate,1.18,High,Aging Population,634688,3937,Suburban,Transport
2016-08-08,Oregon,189618,152780,Abundant,5.84,Weak,1.15,Low,Aging Population,565390,3852,Suburban,Transport
2016-12-20,Delaware,171069,155001,Limited,3.28,Moderate,1.39,Moderate,Millennial Buyers,171979,2004,Urban,Good Schools
2023-03-27,Wyoming,112210,191945,Limited,4.46,Weak,1.12,Moderate,Millennial Buyers,405890,3828,Suburban,Transport
2016-07-18,Oklahoma,98211,193089,Abundant,3.75,Strong,0.74,Low,Millennial Buyers,406401,1183,Suburban,Transport
2020-10-15,South Carolina,162119,101105,Abundant,5.43,Moderate,1.62,High,Aging Population,641168,2940,Urban,Good Schools
2010-02-12,Colorado,67585,168178,Abundant,3.29,Weak,0.5,Low,Millennial Buyers,405538,1080,Suburban,Transport
2017-10-01,New York,59251,176080,Limited,5.16,Strong,0.9,Moderate,Aging Population,448357,3397,Urban,Good Schools
2020-11-09,South Dakota,173879,125146,Limited,5.78,Moderate,0.8,High,Aging Population,502696,1245,Urban,Good Schools
2010-10-31,Connecticut,94456,166905,Limited,4.96,Moderate,1.92,High,Millennial Buyers,353207,2290,Suburban,Transport
2022-05-11,Oregon,192945,123017,Limited,4.54,Weak,1.98,Moderate,Millennial Buyers,576955,2437,Suburban,Transport
2020-04-05,Michigan,178913,199516,Limited,4.93,Weak,0.97,Moderate,Aging Population,558724,3122,Urban,Good Schools
2011-10-27,Delaware,84666,198642,Abundant,4.16,Moderate,1.04,Low,Aging Population,182184,2443,Suburban,Transport
2013-03-23,Florida,139034,102790,Limited,3.36,Strong,1.66,Moderate,Aging Population,734706,3025,Urban,Good Schools
2017-04-30,Georgia,161267,186133,Limited,5.44,Strong,1.14,High,Aging Population,363911,2841,Urban,Good Schools
2015-05-02,Indiana,61631,160993,Limited,4.99,Strong,1.17,Low,Aging Population,369041,1610,Urban,Good Schools
2016-11-06,Connecticut,86900,192576,Limited,4.35,Moderate,1.16,Low,Aging Population,743350,1411,Urban,Good Schools
2014-01-13,Maine,116583,191433,Limited,5.58,Moderate,1.35,Low,Millennial Buyers,615485,2183,Urban,Good Schools
2019-07-16,Indiana,156670,110388,Abundant,3.86,Moderate,1.99,High,Aging Population,363406,1762,Suburban,Transport
2019-08-22,Iowa,124576,129708,Limited,4.51,Moderate,0.86,Low,Millennial Buyers,381609,1439,Suburban,Transport
2015-11-03,California,82273,151716,Limited,3.49,Weak,1.77,Moderate,Aging Population,1699631,3842,Suburban,Transport
2012-10-23,Missouri,91703,141229,Limited,4.83,Moderate,1.16,Moderate,Aging Population,536167,2761,Urban,Good Schools
2012-08-19,Delaware,64273,179534,Abundant,5.67,Moderate,1.02,High,Millennial Buyers,199622,2174,Urban,Good Schools
2017-11-29,Nebraska,183616,106879,Limited,3.76,Weak,1.67,High,Millennial Buyers,240814,3711,Suburban,Transport
2018-08-01,Maryland,190036,121008,Limited,4.42,Strong,0.84,High,Aging Population,408097,3598,Suburban,Transport
2015-07-03,Iowa,116084,183860,Abundant,4.2,Weak,1.87,Low,Millennial Buyers,562945,2435,Suburban,Transport
2015-11-20,Maine,161249,116858,Abundant,3.32,Moderate,0.89,High,Millennial Buyers,386990,2525,Suburban,Transport
2019-02-06,Illinois,101711,132872,Limited,4.02,Moderate,0.56,High,Aging Population,454465,2105,Urban,Good Schools
2016-05-27,West Virginia,50234,112535,Limited,4.14,Weak,1.16,High,Aging Population,203708,2982,Urban,Good Schools
2020-08-24,Nebraska,60261,129441,Abundant,4.85,Moderate,0.73,High,Aging Population,651864,1171,Urban,Good Schools
2010-11-01,Michigan,176504,164612,Abundant,3.87,Weak,1.61,High,Millennial Buyers,326979,2022,Suburban,Transport
2013-12-11,New Hampshire,70584,127923,Abundant,5.33,Strong,0.53,Low,Aging Population,489452,1887,Suburban,Transport
2014-02-05,Alabama,157093,130734,Limited,5.51,Weak,1.33,Moderate,Aging Population,678188,3900,Urban,Good Schools
2017-04-06,Arizona,174723,186462,Abundant,4.3,Moderate,1.47,Low,Millennial Buyers,197220,1332,Suburban,Transport
2017-11-15,Michigan,131275,150516,Abundant,4.6,Weak,0.63,High,Aging Population,761573,3519,Urban,Good Schools
2012-07-05,Illinois,176761,158927,Limited,3.55,Moderate,1.61,Moderate,Millennial Buyers,181441,2855,Urban,Good Schools
2021-06-14,Arizona,169233,161640,Abundant,5.09,Strong,1.63,High,Aging Population,611934,1039,Suburban,Transport
2020-03-10,Alabama,118696,121918,Abundant,4.78,Strong,1.39,High,Aging Population,296733,2470,Suburban,Transport
2017-08-04,Tennessee,164667,108234,Limited,5.06,Strong,1.37,Low,Millennial Buyers,553952,3130,Suburban,Transport
2014-06-13,Alaska,115781,154919,Abundant,5.54,Moderate,1.76,Low,Aging Population,495004,1040,Suburban,Transport
2020-07-04,Indiana,91582,125547,Abundant,5.64,Strong,1.22,High,Millennial Buyers,574797,1683,Urban,Good Schools
2012-04-01,Illinois,167471,175747,Abundant,4.78,Moderate,0.65,High,Aging Population,206575,1810,Suburban,Transport
2020-11-08,New Mexico,88454,126321,Abundant,4.94,Strong,1.45,Moderate,Millennial Buyers,270945,3752,Suburban,Transport
2013-09-16,Delaware,140493,186141,Limited,3.77,Strong,1.76,Moderate,Aging Population,311075,3083,Urban,Good Schools
2022-04-25,Massachusetts,150687,133054,Abundant,4.86,Moderate,0.52,Low,Millennial Buyers,181883,2595,Urban,Good Schools
2012-04-30,Arizona,150071,185003,Abundant,4.2,Strong,1.26,Moderate,Millennial Buyers,562905,1985,Urban,Good Schools
2012-09-27,Wyoming,109767,166488,Limited,3.44,Strong,1.27,Moderate,Aging Population,471981,2443,Urban,Good Schools
2019-04-01,Colorado,76611,177356,Abundant,5.43,Strong,1.92,Low,Aging Population,475129,3196,Suburban,Transport
2010-01-19,Indiana,78995,156784,Limited,5.63,Strong,1.2,Moderate,Millennial Buyers,337077,1105,Suburban,Transport
2014-06-26,Ohio,50961,170376,Abundant,5.95,Weak,1.12,Low,Millennial Buyers,240077,2361,Urban,Good Schools
2014-07-26,Maryland,96014,196870,Abundant,5.42,Moderate,1.05,Low,Millennial Buyers,753328,1546,Urban,Good Schools
2011-05-09,Mississippi,96545,191542,Limited,5.28,Weak,0.86,Moderate,Millennial Buyers,444560,1396,Suburban,Transport
2013-09-09,Vermont,117478,178488,Abundant,5.73,Strong,1.25,High,Millennial Buyers,579619,1882,Urban,Good Schools
2020-03-16,New Hampshire,85405,193618,Limited,5.78,Strong,0.93,Moderate,Aging Population,737778,1614,Urban,Good Schools
2023-03-19,Colorado,139579,197441,Limited,5.76,Weak,1.07,Low,Millennial Buyers,753250,2354,Suburban,Transport
2019-11-24,Oregon,98005,172482,Limited,3.59,Weak,0.82,Low,Millennial Buyers,173172,1376,Suburban,Transport
2019-07-14,Nebraska,79303,185063,Abundant,4.03,Weak,0.58,Low,Aging Population,499511,3852,Urban,Good Schools
2011-11-19,Connecticut,119294,194821,Abundant,3.62,Strong,1.86,High,Millennial Buyers,520122,1046,Suburban,Transport
2020-03-20,Minnesota,50812,154866,Limited,5.82,Strong,1.94,Moderate,Aging Population,244658,2723,Urban,Good Schools
2014-05-28,Delaware,192908,186302,Limited,3.56,Strong,1.74,Moderate,Aging Population,703389,1777,Suburban,Transport
2021-03-08,Missouri,52185,178064,Limited,5.7,Moderate,0.86,Moderate,Millennial Buyers,523607,2012,Urban,Good Schools
2019-04-26,Mississippi,142522,110086,Limited,3.57,Moderate,1.46,Moderate,Millennial Buyers,647390,2541,Suburban,Transport
2012-10-06,Tennessee,71480,105510,Abundant,4.6,Moderate,1.28,Moderate,Aging Population,707815,2075,Urban,Good Schools
2016-08-05,Kansas,135553,112541,Limited,5.1,Strong,1.0,Moderate,Aging Population,547614,1812,Urban,Good Schools
2012-12-28,Delaware,98838,175569,Abundant,4.65,Strong,1.85,Moderate,Aging Population,732891,1482,Urban,Good Schools
2013-08-20,South Carolina,167729,158433,Limited,5.19,Strong,1.15,Moderate,Millennial Buyers,522368,1635,Suburban,Transport
2014-08-05,Georgia,182436,107370,Abundant,5.98,Moderate,1.32,Low,Millennial Buyers,348367,3658,Urban,Good Schools
2015-06-23,Louisiana,183561,173445,Limited,4.11,Moderate,0.86,Low,Aging Population,329251,2493,Urban,Good Schools
2013-08-03,Indiana,185841,110232,Abundant,3.51,Weak,1.89,Low,Aging Population,740083,3183,Urban,Good Schools
2018-12-03,Kansas,173515,198579,Abundant,4.28,Strong,1.57,Low,Millennial Buyers,786928,3231,Suburban,Transport
2015-06-11,Wisconsin,58182,156171,Abundant,3.94,Moderate,1.12,High,Millennial Buyers,498030,2376,Urban,Good Schools
2019-12-28,Kentucky,120580,175001,Abundant,4.66,Strong,1.85,Moderate,Aging Population,638776,3410,Urban,Good Schools
2010-12-11,California,118723,102830,Abundant,4.35,Moderate,1.36,Moderate,Aging Population,984279,2345,Urban,Good Schools
2022-04-10,Pennsylvania,115154,113434,Abundant,4.85,Strong,1.78,High,Aging Population,723703,3656,Suburban,Transport
2012-09-13,Maine,83107,120693,Abundant,5.82,Strong,0.73,Moderate,Aging Population,532769,2035,Urban,Good Schools
2022-06-11,Indiana,174210,113351,Abundant,3.4,Strong,1.26,Low,Millennial Buyers,745714,3012,Suburban,Transport
2020-06-04,Illinois,70455,139615,Limited,3.09,Weak,1.69,Low,Millennial Buyers,363601,2619,Urban,Good Schools
2022-05-21,Connecticut,153653,181944,Abundant,3.75,Moderate,0.91,Moderate,Aging Population,699217,1848,Urban,Good Schools
2020-12-16,Nevada,195326,169933,Limited,5.31,Moderate,0.87,Moderate,Millennial Buyers,383624,3382,Urban,Good Schools
2018-06-19,South Dakota,119309,163310,Limited,5.03,Weak,0.75,Moderate,Millennial Buyers,388285,2290,Urban,Good Schools
2020-11-05,Vermont,84002,164968,Limited,3.21,Weak,1.16,Low,Millennial Buyers,725669,1739,Urban,Good Schools
2013-02-16,Utah,82246,148600,Limited,3.47,Moderate,1.43,Low,Millennial Buyers,693865,2748,Urban,Good Schools
2016-06-16,Georgia,67156,105031,Abundant,4.96,Moderate,0.56,High,Millennial Buyers,674621,1816,Urban,Good Schools
2013-04-13,Wyoming,76111,142787,Limited,5.65,Weak,1.4,High,Millennial Buyers,235253,3364,Urban,Good Schools
2010-03-27,Idaho,176008,118499,Limited,3.87,Strong,0.68,High,Aging Population,232125,1879,Suburban,Transport
2014-02-27,Colorado,195070,105800,Abundant,5.3,Strong,1.79,Moderate,Millennial Buyers,343170,3404,Suburban,Transport
2011-06-01,Missouri,188206,136669,Abundant,3.98,Weak,0.85,High,Aging Population,560843,2869,Urban,Good Schools
2013-10-13,Delaware,150269,190924,Abundant,5.32,Moderate,0.54,Low,Millennial Buyers,596793,3344,Urban,Good Schools
2017-06-09,Washington,158764,128480,Limited,5.25,Moderate,1.43,Moderate,Aging Population,463191,1560,Suburban,Transport
2018-06-12,Mississippi,51817,171998,Abundant,5.89,Weak,1.5,Moderate,Aging Population,269502,3178,Urban,Good Schools
2012-10-11,North Dakota,193501,148554,Abundant,3.85,Weak,0.53,Moderate,Millennial Buyers,655377,2078,Suburban,Transport
2010-05-09,Wyoming,81723,176451,Abundant,5.13,Weak,1.55,Low,Aging Population,645819,1005,Urban,Good Schools
2013-09-26,Kansas,82167,102201,Limited,5.35,Moderate,1.02,Moderate,Aging Population,539645,3718,Urban,Good Schools
2019-12-03,Illinois,64677,152986,Abundant,3.54,Moderate,1.29,Low,Aging Population,643727,1423,Suburban,Transport
2023-08-11,Maine,151858,155992,Abundant,5.78,Moderate,1.1,High,Aging Population,680184,1829,Suburban,Transport
2012-06-10,Kentucky,89923,153043,Limited,5.06,Strong,1.66,High,Millennial Buyers,267672,3938,Urban,Good Schools
2017-08-25,Illinois,91481,158145,Limited,5.66,Weak,0.84,Moderate,Aging Population,727168,2944,Suburban,Transport
2021-08-09,Maryland,95630,187800,Limited,4.12,Strong,1.35,Moderate,Aging Population,562609,2312,Suburban,Transport
2013-09-21,Maryland,138899,141935,Limited,4.71,Strong,0.88,High,Aging Population,312133,3667,Urban,Good Schools
2010-11-04,Georgia,120564,197896,Abundant,5.04,Weak,1.44,High,Millennial Buyers,237939,2178,Urban,Good Schools
2014-07-20,New Hampshire,76536,105937,Abundant,4.45,Strong,1.64,Low,Millennial Buyers,749817,3427,Urban,Good Schools
2016-08-28,Texas,126487,182087,Abundant,5.56,Weak,1.44,Moderate,Aging Population,656631,1726,Suburban,Transport
2020-10-09,Kansas,94612,163151,Abundant,4.72,Weak,1.71,Moderate,Aging Population,754416,2930,Urban,Good Schools
2013-08-10,Rhode Island,112618,194267,Abundant,4.09,Moderate,1.84,High,Millennial Buyers,391710,3943,Suburban,Transport
2021-10-13,Alabama,126820,133934,Limited,3.06,Weak,1.15,Moderate,Millennial Buyers,523229,3580,Urban,Good Schools
2016-10-10,Iowa,61801,145717,Abundant,3.25,Weak,0.87,High,Millennial Buyers,425074,2790,Urban,Good Schools
2016-12-17,Michigan,98408,133661,Limited,5.71,Moderate,1.36,Moderate,Millennial Buyers,721910,3892,Urban,Good Schools
2013-05-31,Texas,160808,145563,Limited,4.96,Strong,0.93,Moderate,Aging Population,778966,2222,Suburban,Transport
2013-04-23,Tennessee,94507,179311,Limited,3.14,Strong,1.35,High,Millennial Buyers,660040,1574,Suburban,Transport
2010-08-05,Wyoming,96185,127441,Limited,4.28,Moderate,1.42,Moderate,Aging Population,618748,2764,Suburban,Transport
2021-10-02,Rhode Island,94870,187570,Limited,4.67,Moderate,0.53,Moderate,Millennial Buyers,368132,2983,Suburban,Transport
2018-05-21,Georgia,102843,101683,Abundant,5.43,Weak,1.11,Moderate,Aging Population,434639,2333,Urban,Good Schools
2013-05-24,Kansas,83812,129820,Limited,5.51,Moderate,1.57,Low,Aging Population,620852,2635,Urban,Good Schools
2016-04-08,Montana,77324,115758,Abundant,3.53,Moderate,1.09,Moderate,Millennial Buyers,275714,1290,Urban,Good Schools
2017-07-03,Vermont,147834,122812,Limited,4.64,Moderate,1.63,High,Millennial Buyers,563463,3150,Urban,Good Schools
2010-10-03,Kentucky,188000,160402,Abundant,3.78,Weak,1.86,Moderate,Aging Population,156217,1727,Urban,Good Schools
2011-05-05,New Jersey,80802,154083,Limited,4.14,Strong,1.69,Low,Aging Population,376797,2634,Urban,Good Schools
2012-11-01,New Jersey,89040,149395,Limited,3.94,Moderate,1.77,Low,Millennial Buyers,796881,1367,Urban,Good Schools
2013-05-14,Massachusetts,82609,154934,Limited,4.49,Moderate,0.55,Low,Millennial Buyers,518777,3685,Suburban,Transport
2022-07-22,Idaho,70987,132735,Abundant,5.48,Weak,1.72,Low,Aging Population,744168,1055,Urban,Good Schools
2012-10-05,Vermont,92533,199416,Abundant,5.34,Weak,0.77,Low,Aging Population,362774,3219,Suburban,Transport
2022-11-03,Arizona,112848,170274,Limited,5.53,Moderate,1.43,High,Aging Population,641990,3861,Urban,Good Schools
2021-01-09,Alaska,199228,110972,Abundant,4.91,Weak,0.71,High,Millennial Buyers,312124,3105,Urban,Good Schools
2018-09-18,Vermont,109196,133731,Abundant,5.62,Strong,0.72,Low,Millennial Buyers,164539,3621,Suburban,Transport
2016-12-07,Arizona,71369,147501,Limited,5.69,Moderate,1.95,Low,Millennial Buyers,358750,3049,Urban,Good Schools
2021-06-01,Mississippi,137626,124099,Limited,3.28,Weak,1.24,High,Millennial Buyers,488115,2198,Suburban,Transport
2012-11-24,California,61266,146811,Abundant,4.94,Weak,1.01,Moderate,Aging Population,847880,2309,Urban,Good Schools
2015-12-07,Alabama,102016,124347,Limited,5.1,Weak,0.83,High,Millennial Buyers,369162,2283,Suburban,Transport
2022-07-15,Alabama,199159,129663,Limited,3.08,Weak,0.86,Moderate,Millennial Buyers,488993,2385,Urban,Good Schools
2010-10-09,Kansas,64521,118180,Abundant,4.27,Moderate,1.09,Moderate,Aging Population,379684,1531,Suburban,Transport
2019-10-06,Maryland,62368,117664,Abundant,5.75,Moderate,0.8,Moderate,Aging Population,427019,2858,Urban,Good Schools
2013-08-09,Wyoming,79155,101406,Abundant,4.47,Strong,1.95,Moderate,Aging Population,499721,2372,Suburban,Transport
2023-08-19,Virginia,50243,193543,Limited,3.08,Strong,1.15,High,Millennial Buyers,257858,2482,Suburban,Transport
